Name,Price,Score,Description,Cleaned_Description
B Hotel,2296,8.6,"Este hotel de diseño está a solo 150 metros de la plaza España y frente al centro comercial Las Arenas. Cuenta con una piscina en la 8ª planta y un solárium que ofrece vistas espectaculares a Montjuïc.

Las habitaciones del B Hotel tienen aire acondicionado, son amplias y están insonorizadas. Además, todas incluyen WiFi gratuita y están decoradas con obras de arte contemporáneas. Todas las habitaciones disponen de hervidor eléctrico y carta de almohadas.

En el B Bar se sirven tapas modernas y una amplia selección de vinos españoles. El servicio de habitaciones también está disponible en el bar y en la zona de la piscina.

La estación de metro de Plaza Espanya está a 200 metros del hotel, mientras que el centro de exposiciones Fira de Barcelona se encuentra a solo 250 metros. Además, la Fuente Mágica de Montjuïc queda a unos 5 minutos a pie.",hotel diseño solo 150 metro plaza españa frent centro comerci arena cuenta piscina 8ª planta solárium ofrec vista espectacular montjuïc habitacion b hotel air acondicionado amplia insonorizada ademá toda incluyen wifi gratuita decorada obra art contemporánea toda habitacion disponen hervidor eléctrico carta almohada b bar sirven tapa moderna amplia selección vino español servicio habitacion dispon bar zona piscina estación metro plaza espanya 200 metro hotel mientra centro exposicion fira barcelona encuentra solo 250 metro ademá fuent mágica montjuïc queda 5 minuto pie
Vincci Maritimo,1804,8.4,"El Vincci Marítimo se encuentra a 10 minutos a pie del centro comercial Diagonal Mar y del centro de convenciones CCIB de Barcelona. Ofrece habitaciones luminosas y elegantes con TV de pantalla plana vía satélite y conexión Wi-Fi gratuita.

Las habitaciones del Hotel Marítimo presentan una decoración moderna con suelo de parquet e imágenes relajantes del mar. Además, disponen de aire acondicionado, carta de almohadas, baño privado con secador de pelo y vistas al encantador jardín zen japonés o al parque Diagonal Mar.

El restaurante Jardí de Mar del hotel ofrece platos de cocina mediterránea elaborados con ingredientes frescos. El desayuno del hotel incluye alimentos aptos para celíacos, mientras que el bar salón Ikebana sirve aperitivos, tapas y cócteles que los huéspedes podrán disfrutar en la terraza.

El hotel dispone de recepción 24 horas con servicios de lavandería y de alquiler de coches.

El Vincci Marítimo se encuentra a sólo 500 metros de la playa de Mar Bella, mientras que la estación de metro Selva del Mar está a 2 minutos a pie del hotel y conecta con el centro de la ciudad en 15 minutos.",vincci marítimo encuentra 10 minuto pie centro comerci diagon mar centro convencion ccib barcelona ofrec habitacion luminosa elegant tv pantalla plana vía satélit conexión gratuita habitacion hotel marítimo presentan decoración moderna suelo parquet imágen relajant mar ademá disponen air acondicionado carta almohada baño privado secador pelo vista encantador jardín zen japoné parqu diagon mar restaurant jardí mar hotel ofrec plato cocina mediterránea elaborado ingredient fresco desayuno hotel incluy alimento apto celíaco mientra bar salón ikebana sirv aperitivo tapa cóctele huésped podrán disfrutar terraza hotel dispon recepción 24 hora servicio lavandería alquil coch vincci marítimo encuentra sólo 500 metro playa mar bella mientra estación metro selva mar 2 minuto pie hotel conecta centro ciudad 15 minuto
Catalonia Barcelona 505,1358,8.5,"El Catalonia Barcelona 505 se encuentra en la zona Sant Gervasi de Barcelona y dispone de piscina exterior y de habitaciones amplias con WiFi gratuita. El centro está a 15 minutos de la estación de tren de El Putxet, situada a 400 metros.

El hotel está cerca de centros médicos importantes, como Dexeus, Barraquer y las clínicas Teknon y Sant Jordi, y está al lado del Tranvía Azul, con destino al teleférico del Tibidabo.

Las habitaciones tienen aire acondicionado, caja fuerte, minibar y TV vía satélite. Hay escritorio y baño privado con secador de pelo y artículos de aseo.

El restaurante C50&5 elabora cocina internacional, y hay bar y servicio de habitaciones.

La recepción está abierta las 24 horas y ofrece servicio de alquiler de coche. Desde el hotel es fácil llegar a la autopista B20, y el aparcamiento de las instalaciones está disponible por un suplemento.",catalonia barcelona 505 encuentra zona sant gervasi barcelona dispon piscina exterior habitacion amplia wifi gratuita centro 15 minuto estación tren putxet situada 400 metro hotel cerca centro médico important dexeu barraqu clínica teknon sant jordi lado tranvía azul destino teleférico tibidabo habitacion air acondicionado caja fuert minibar tv vía satélit escritorio baño privado secador pelo artículo aseo restaurant c50 5 elabora cocina internacion bar servicio habitacion recepción abierta 24 hora ofrec servicio alquil coch hotel fácil llegar autopista b20 aparcamiento instalacion dispon suplemento
Hotel Sant Agustí,1994,8.0,"El Sant Agustí, inaugurado en 1840, ocupa un convento restaurado situado a solo 150 metros del famoso paseo de La Rambla de Barcelona. Ofrece habitaciones funcionales con conexión WiFi gratuita, aire acondicionado y TV de pantalla plana vía satélite.

Las habitaciones del Hotel Sant Agustí presentan un diseño sencillo y moderno con suelo de madera e incluyen caja fuerte. Algunas tienen balcón privado, mientras que todas disponen de baño con artículos de aseo y secador de pelo.

El Sant Agustí sirve un desayuno buffet continental todos los días.

En la planta baja encontrará diversos ordenadores de uso gratuito. La recepción permanece abierta las 24 horas.

El hotel se halla en una plaza de ambiente tranquilo, a 2 minutos a pie de la estación de metro de Liceu y del mercado La Boquería. La plaza de Catalunya, ubicada a menos de 700 metros, ofrece numerosas conexiones de tren y autobús, incluidos enlaces directos con el aeropuerto.",sant agustí inaugurado 1840 ocupa convento restaurado situado solo 150 metro famoso paseo rambla barcelona ofrec habitacion funcional conexión wifi gratuita air acondicionado tv pantalla plana vía satélit habitacion hotel sant agustí presentan diseño sencillo moderno suelo madera incluyen caja fuert balcón privado mientra toda disponen baño artículo aseo secador pelo sant agustí sirv desayuno buffet continent día planta baja encontrará diverso ordenador uso gratuito recepción permanec abierta 24 hora hotel halla plaza ambient tranquilo 2 minuto pie estación metro liceu mercado boquería plaza catalunya ubicada meno 700 metro ofrec numerosa conexion tren autobú incluido enlac directo aeropuerto
Blue Barcelona,2721,8.1,"El Blue Barcelona, situado en el distrito barcelonés de Gracia, junto a la estación de FGC de Gracia, ofrece conexión WiFi gratuita, salón compartido y mostrador de información turística.

Las habitaciones tienen aire acondicionado, TV de pantalla plana con canales vía satélite, escritorio y suelo de madera. Algunas disponen de baño privado con ducha o bañera y artículos de aseo gratuitos, mientras que otras cuentan con acceso a un baño compartido.

El Blue Barcelona se encuentra a 5 minutos a pie de varios bares, restaurantes y tiendas. También hay máquinas expendedoras.

La estación de metro de Fontana se halla a 300 metros, la Plaza Catalunya y Las Ramblas quedan a 2 paradas de metro y la Sagrada Familia de Gaudí está a 2,3 km",blue barcelona situado distrito barceloné gracia junto estación fgc gracia ofrec conexión wifi gratuita salón compartido mostrador información turística habitacion air acondicionado tv pantalla plana canal vía satélit escritorio suelo madera disponen baño privado ducha bañera artículo aseo gratuito mientra cuentan acceso baño compartido blue barcelona encuentra 5 minuto pie vario bare restaurant tienda máquina expendedora estación metro fontana halla 300 metro plaza catalunya rambla quedan 2 parada metro sagrada familia gaudí km
Center Gran Via,1487,8.8,"El Hotel Center Gran Via está en el centro de Barcelona, junto a la Universidad de Barcelona (situada en la Gran Vía) y ofrece habitaciones modernas. Se halla a unos 5 minutos a pie de la plaza de Cataluña, de Las Ramblas y del Paseo de Gracia.

El Hotel Center Gran Via ocupa la planta principal de un hermoso edificio modernista con balcones franceses y techo alto pintado. Las habitaciones presentan una decoración moderna y sencilla.

Todas las habitaciones del Hotel Center Gran Via están en la planta principal y cuentan con aire acondicionado y WiFi gratuita. Algunas habitaciones, según la categoría, cuentan con balcón o terraza.

El hotel se encuentra a 100 metros de la parada de metro Universitat. La Sagrada Familia queda a solo 5 paradas desde dicha estación. Las casas de Gaudí, el Barrio Gótico y el barrio del Born están a 20 minutos a pie.

El Gran Via está a 100 metros de la parada del autobús que lleva hasta el aeropuerto y a menos de 10 minutos a pie de la estación de tren y metro Catalunya.",hotel center gran via centro barcelona junto universidad barcelona situada gran vía ofrec habitacion moderna halla 5 minuto pie plaza cataluña rambla paseo gracia hotel center gran via ocupa planta princip hermoso edificio modernista balcon frances techo alto pintado habitacion presentan decoración moderna sencilla toda habitacion hotel center gran via planta princip cuentan air acondicionado wifi gratuita habitacion según categoría cuentan balcón terraza hotel encuentra 100 metro parada metro universitat sagrada familia queda solo 5 parada dicha estación casa gaudí barrio gótico barrio born 20 minuto pie gran via 100 metro parada autobú lleva aeropuerto meno 10 minuto pie estación tren metro catalunya
"Casa Consell Gran Via, Guest House",1966,8.6,"El establecimiento Casa Consell Gran Via, Guest House se encuentra en la Gran Vía, en el famoso distrito barcelonés del Ensanche, y ofrece alojamiento con WiFi gratuita y una buena relación calidad precio. Se halla a 700 metros de la plaza de Cataluña y del Paseo de Gracia.

La estación de autobuses de Barcelona Norte queda a solo 500 metros. El establecimiento está bien comunicado con las estaciones de metro de Tetuán y Girona.

Este alojamiento ocupa un edificio histórico con una decoración elegante y elementos originales. Ofrece cocina compartida totalmente equipada y café y té gratuitos durante la estancia.

El establecimiento Casa Consell Gran Via, Guest House está cerca de varios edificios modernistas populares, como la Casa Batlló de Gaudí y la Sagrada Familia. El barrio Gótico y la catedral también están cerca.

Algunas habitaciones tienen terraza o balcón con vistas a la calle. Todas las habitaciones disponen de baño privado con azulejos de cerámica tradicionales.",establecimiento casa consel gran via guest hous encuentra gran vía famoso distrito barceloné ensanch ofrec alojamiento wifi gratuita buena relación calidad precio halla 700 metro plaza cataluña paseo gracia estación autobus barcelona nort queda solo 500 metro establecimiento bien comunicado estacion metro tetuán girona alojamiento ocupa edificio histórico decoración elegant elemento original ofrec cocina compartida totalment equipada café té gratuito estancia establecimiento casa consel gran via guest hous cerca vario edificio modernista popular casa batlló gaudí sagrada familia barrio gótico catedr cerca habitacion terraza balcón vista call toda habitacion disponen baño privado azulejo cerámica tradicional
Pensión Villanueva,1052,7.2,"Pensión Villanueva es un alojamiento de 2 estrellas con una buena ubicación en Barcelona, cerca de Plaza Cataluña y de Portal del Ángel. El alojamiento se encuentra a 2,2 km de Platja de Sant Sebastià, a 2,2 km de Platja de Sant Miquel y a 2,2 km de Platja del Somorrostro. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hostal o pensión, todas las habitaciones están equipadas con armario. En Pensión Villanueva, todas las habitaciones disponen de ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Teatro Tívoli, Palacio de la Música Catalana y Paseo de Gracia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 13 km.",pensión villanueva alojamiento 2 estrella buena ubicación barcelona cerca plaza cataluña portal ángel alojamiento encuentra km platja sant sebastià km platja sant miquel km platja somorrostro wifi grati ofrec park privado suplemento hostal pensión toda habitacion equipada armario pensión villanueva toda habitacion disponen ropa cama toalla cerca alojamiento punto interé teatro tívoli palacio música catalana paseo gracia aeropuerto aeropuerto barcelona prat 13 km
Good-Home Paseo de Gracia,1720,8.1,"El Good-Home Paseo de Gracia está situado en Barcelona. Ofrece conexión WiFi gratuita y habitaciones con TV, aire acondicionado y balcón o terraza.

Todas las habitaciones cuentan con aire acondicionado, TV de pantalla plana, caja fuerte, zona de estar y baño privado con ducha y secador de pelo.

Este bed and breakfast ofrece un desayuno sencillo de autoservicio, que incluye tostadas, bollería y cereales. La zona de comedor está equipada con microondas, nevera y hervidor eléctrico. Además, hay una tetera/cafetera disponible de 08:00 a 12:00. El establecimiento dispone de mostrador de información turística.

Este bed and breakfast se encuentra a 1 km de la estación de Passeig de Gracia y a 200 metros de la avenida Diagonal y la Pedrera. El aeropuerto de Barcelona-El Prat se sitúa a 13 km.",paseo gracia situado barcelona ofrec conexión wifi gratuita habitacion tv air acondicionado balcón terraza toda habitacion cuentan air acondicionado tv pantalla plana caja fuert zona baño privado ducha secador pelo bed and breakfast ofrec desayuno sencillo autoservicio incluy tostada bollería cereal zona comedor equipada microonda nevera hervidor eléctrico ademá dispon establecimiento dispon mostrador información turística bed and breakfast encuentra 1 km estación passeig gracia 200 metro avenida diagon pedrera aeropuerto prat sitúa 13 km
Fira Apartments by Gaiarooms,2119,8.1,"Estos apartamentos, modernos y luminosos, están situados junto al centro de exposiciones Fira de Barcelona y ofrecen alojamiento con conexión WiFi gratuita y TV de pantalla plana. La plaza de España está a solo 50 metros.

Los elegantes apartamentos del Ding Dong Fira Apartment están decorados en tonos claros y cuentan con suelo de madera elegante y salón con sofá cama. Solo hay aire acondicionado y calefacción en el salón.

La zona de cocina de planta abierta está bien equipada con lavadora, microondas, tostadora, cafetera Nespresso y utensilios. También incluye toallas, ropa de cama y secador de pelo.

Hay una gran variedad de bares, restaurantes y tiendas a 5 minutos a pie del Fira Apartments by Gaiarooms. La famosa Fuente Mágica y el centro comercial Las Arenas están a 100 metros.

La estación de metro Espanya, situada a 250 metros, ofrece conexión directa con la plaza Catalunya y Las Ramblas. La estación de tren de Sants se halla a 500 metros, aunque también se puede llegar en trayecto directo de metro. A 3 minutos a pie de los apartamentos paran los autobuses con servicio al aeropuerto y los autobuses turísticos.",apartamento moderno luminoso situado junto centro exposicion fira barcelona ofrecen alojamiento conexión wifi gratuita tv pantalla plana plaza españa solo 50 metro elegant apartamento ding dong fira apart decorado tono claro cuentan suelo madera elegant salón sofá cama solo air acondicionado calefacción salón zona cocina planta abierta bien equipada lavadora microonda tostadora cafetera nespresso utensilio incluy toalla ropa cama secador pelo gran variedad bare restaurant tienda 5 minuto pie fira apart by gaiaroom famosa fuent mágica centro comerci arena 100 metro estación metro espanya situada 250 metro ofrec conexión directa plaza catalunya rambla estación tren sant halla 500 metro aunqu pued llegar trayecto directo metro 3 minuto pie apartamento paran autobus servicio aeropuerto autobus turístico
