Name,Price,Score,Description
Hostal Goyal Pizarro,€ 740,8.0,"El Hostal Goyal Pizarro ocupa un edificio modernista del barrio de Chueca de Madrid, una zona famosa en todo el mundo por su animado ambiente nocturno gay y lésbico.

Este hostal gay-friendly dispone de salón con TV vía satélite y conexión Wi-Fi, el lugar perfecto para conocer a otros huéspedes.
En los alrededores encontrará tiendas, bares y discotecas para todos los gustos, así como también lugares de interés cultural, entre ellos algunos de los museos más prestigiosos del mundo (Reina Sofía, Prado, Thyssen-Bornemisza)."
Hostal Don Alfonso,€ 969,8.8,"Hostal Don Alfonso, que se encuentra a 3 min a pie de Plaza Mayor de Madrid y a 400 metros de Gran Vía, ofrece habitaciones con aire acondicionado y baño privado en Madrid. Este hostal o pensión de 2 estrellas tiene wifi gratis, recepción 24 horas y servicio de conserjería. El alojamiento está a 5 min a pie de Mercado de San Miguel y a pocos pasos del centro de la ciudad.

En el hostal o pensión, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades cuentan con nevera.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Estación de metro Gran Vía y Estación de metro Plaza de España. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km."
ITC Infantas by Soho Boutique,€ 1.462,8.2,"El ITC Infantas by Soho Boutique está ubicado en Madrid, a pocos metros de la Gran Vía, rodeado de los restaurantes y bares de la popular zona de Chueca. Ofrece WiFi gratuita en todas las instalaciones.

Las habitaciones de este encantador edificio del siglo XIX están equipadas con aire acondicionado, TV de pantalla plana, caja fuerte para ordenador portátil y baño grande con artículos de aseo. También hay una carta de almohadas y servicio de habitaciones 24 horas.

En la recepción 24 horas hay un mostrador de información turística con servicio de alquiler de coches y bicicletas e información sobre la zona. También se ofrece un ordenador de uso gratuito.

El ITC Infantas by Soho Boutique se encuentra a solo 500 metros de la Puerta del Sol y a 700 metros del Museo del Prado y del Museo Thyssen-Bornemisza. Las estaciones de metro Banco de España y Gran Vía quedan a unos 200 metros."
Hostal New Dream Madrid,€ 867,7.9,"Hostal New Dream Madrid es un alojamiento muy bien situado en el centro de Madrid que ofrece desayuno continental y wifi gratis en todo el alojamiento. El alojamiento está cerca de Gran Vía, de Estación de metro Gran Vía y de Estación de metro Plaza de España. Algunas habitaciones del alojamiento incluyen un balcón con vistas a la ciudad.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Templo de Debod, Royal Palace of Madrid y Museo Thyssen-Bornemisza. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 18 km."
,€ 1.382,8.8,"El Dear Hotel Madrid es un establecimiento boutique situado en el centro de Madrid, en la Gran Vía, a 1 minuto a pie de la estación de metro Plaza de España. Ofrece terraza, restaurante y piscina pequeña en la azotea.

Dispone de habitaciones luminosas y elegantes con WiFi de alta velocidad gratuita, aire acondicionado y TV de pantalla plana de 40 pulgadas con canales vía satélite. Todas son amplias, están insonorizadas e incluyen caja fuerte, minibar con agua mineral gratuita, altavoz para teléfonos inteligentes y set de té/café. El baño privado cuenta con ducha de efecto lluvia, albornoz, zapatillas y artículos de aseo exclusivos gratuitos.

El restaurante salón Nice to Meet You, situado en la planta 14, sirve cocina cosmopolita y contemporánea en un ambiente relajado. Ofrece cócteles y música y goza de espectaculares vistas panorámicas a Madrid. Cada mañana se sirve un desayuno buffet exclusivo.

Se facilita servicio de habitaciones las 24 horas.

El Palacio Real de Madrid está a 10 minutos a pie. La Puerta del Sol y la Plaza Mayor se hallan a 15 minutos a pie. El aeropuerto Adolfo Suárez Madrid-Barajas queda a 21 km."
Edificio Leganitos,€ 1.070,8.1,"Edificio Leganitos está en el centro de Madrid y ofrece alojamiento bien equipado y con wifi gratis a 7 min a pie de Gran Vía y a 800 metros de Estación de metro Gran Vía.

Algunas unidades están equipadas con aire acondicionado, TV de pantalla plana, lavadora, cafetera y cocina.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Museo Thyssen-Bornemisza y Templo de Debod. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km."
Hostal Adis,€ 1.205,8.4,"El Hostal Adis se encuentra en el centro de Madrid, a solo 200 metros de Puerta del Sol. Hay recepción 24 horas y WiFi gratuita.

Las habitaciones tienen aire acondicionado, suelo de baldosa, calefacción, balcón, escritorio, TV de pantalla plana y baño privado con bañera y artículos de aseo.

En las inmediaciones hay multitud de tiendas, bares y restaurantes.

El Museo del Prado está a 10 minutos a pie."
Hostal New Life Madrid,€ 687,7.5,"El Hostal New Life Madrid se encuentra en el centro de Madrid, a solo 2 minutos a pie del animado barrio de Malasaña. Ofrece recepción 24 horas y habitaciones modernas con conexión Wi-Fi gratuita y TV de pantalla plana.

Las habitaciones presentan una decoración contemporánea con suelo de madera. Algunas disponen de baño privado elegante y otras tienen aseo compartido.

En las calles de los alrededores del Hostal New Life Madrid hay numerosas cafeterías y tiendas con encanto.

La plaza de España se encuentra a 5 minutos a pie y la estación de metro de Noviciado conecta fácilmente con el resto de la ciudad."
ITC Mora by Soho Boutique,€ 1.073,7.8,"El ITC Mora by Soho Boutique está situado en el Paseo del Prado de Madrid, a 400 metros del Museo Reina Sofía y de la estación de trenes de Atocha. Ofrece WiFi gratuita, un bar cafetería y recepción abierta las 24 horas.

Las habitaciones del ITC Mora by Soho Boutique presentan una decoración sencilla y están equipadas con aire acondicionado, TV vía satélite y caja fuerte. El baño es moderno e incluye artículos de aseo sencillos. Si desea secador de pelo, puede solicitarlo en recepción.

El ITC Mora by Soho Boutique se encuentra frente al jardín botánico de Madrid, en el Triángulo de los Museos, y delante de la galería de arte Caixa Forum. El Parque del Retiro y el Museo del Prado se hallan a 10 minutos a pie.

En las calles que rodean el hotel hay numerosos bares de tapas típicos y restaurantes. Los autobuses de línea paran en las inmediaciones y la estación de metro de Atocha está a 250 metros."
Hostal Inn Madrid,€ 1.442,8.4,"El Hostal Inn Madrid se encuentra a 50 metros de la Gran Vía madrileña. Ofrece una recepción abierta las 24 horas y habitaciones modernas con aire acondicionado, conexión WiFi gratuita y TV de pantalla plana.

Las habitaciones presentan una decoración alegre, en tonos rojos y blancos. Disponen de escritorio, suelo de madera y baño privado con secador de pelo y artículos de aseo.

El Hostal Inn Madrid está a pocos pasos de numerosos bares, tiendas y restaurantes. Además, en una cafetería cercana se sirve un desayuno que incluye bebidas calientes, zumo de naranja y bollería, tostadas o churros. Se encuentra frente a un gran centro comercial de El Corte Inglés.

Hay mostrador de información turística y se puede llegar a pie a muchos lugares de interés de la ciudad. La Plaza Mayor y el Museo del Prado se hallan a 10 minutos a pie."
